N°,Couleur,inventaire,Format,Etagère,valeur stock(€),Région,Appellation,Domaine,Cuvée,Millésime,Date d'achat,Fournisseur,Qté,Prix unitaire (€),franc,Prix total (€),boire à partir de,apogée début,apogée fin,boire avant,Commentaires,Cote unitaire,Cote Totale
664,,1,,T1,14,Provence,Bandol,Domaine Tempier,La Tourtine,2013,20150817,SAS Peyraud,1,14.0,,14,,2021,2021,2033,85% mouverdre +cinsault+grenache,,
663,,2,,T1,18,Provence,Bandol,Domaine Tempier,Rouge,2013,20150817,SAS Peyraud,2,9.0,,18,,2019,2019,2030,75% mouverdre,,
665,B,0,,T2,0,Loire,Sancerre,Domaine Pascal Cotat,Grande Côte,2011,20150905,Le Chai Privé,3,7.7,,23,,2015,2015,2022,1b bue le 26 déc2020 avec F et V,,
667,,2,,L3,9,Bordeaux,Graves,Château Chantegrive,,2010,20150908,Intermarché,6,4.5,,27,,,2018,2025,,,
666,,1,2,J5,13,Bordeaux,Pessac-Léognan,Chateau La Louvière,,2012,20150908,Intermarché,1,13.3,,13,,2017,2020,2027,,,
668,,2,,B3,17,Bordeaux,Saint-Estèphe,Château Haut-Marbuzet,,2012,20150908,Intermarché,2,8.7,,17,,2022,2025,2030,,,
673,B,5,,B4,32,Jura,Côtes du Jura savagnin,Domaine Jean Macle,,2009,20151112,,6,6.3,,38,,2020,2023,2030+,,,
675,,2,,T2,13,Bourgogne,Rully 1er cru,Domaine Jacqueson,Les Cloux,2014,20151121,Carré des vins,2,6.3,,13,,2017,2025,2027+,,,
677,,2,,T4,17,Bourgogne,Volnay,Domaine Christophe Vaudoisey,"""Clos des Chênes"" 1er cru",2013,20151125,salon des vignerons,2,8.7,,17,,2023,2023,2029,,,
680,B,1,,K1,4,Jura,Arbois Chardonnay,Domaine Jacques Tissot,"""les carrés sous Curon""",2013,20151126,au Domaine,6,4.2,,25,,2015,2015,2018,caves particulières,,
681,,2,2,B5,23,Languedoc,Terrasse du Larzac,Les Vignes oubliées,,2014,20160214,Carré des vins,2,11.3,,23,,2018,2026,2028,,,
682,B,2,,D9,23,Alsace,Alsace ,Domaine Josmeyer,,2013,20160225,1jour1vin,2,11.7,,23,,2016,,2029,,,
684,B,6,,T4,102,Bourgogne,Corton-Charlemagne ,Domaine Jacob,,2014,20160318,au Domaine,4,16.9,,68,,2021,2024,2030,caves particulières,,
